법정동명,경상자수,발생시간,부상신고자수,사고건수,사망자수,중상자수,lat,lng
가락동,1060,13897,188,1137,11,294,37.496486,127.126006
가리봉동,282,3447,32,284,2,72,37.482944,126.888062
가산동,614,7234,53,571,3,175,37.477598,126.888291
가양동,480,5533,38,423,2,113,37.568238,126.845059
가회동,6,90,0,6,0,1,37.582235,126.984666
갈월동,104,1386,15,98,0,27,37.546267,126.972941
갈현동,391,5298,77,419,3,120,37.621223,126.914993
강일동,248,2762,30,201,5,69,37.569204,127.17162
개봉동,703,9504,56,725,12,238,37.49497,126.851409
개포동,566,7465,76,564,5,165,37.47826,127.052024
개화동,194,2154,12,170,2,55,37.582069,126.801198
거여동,219,3482,34,253,5,63,37.494161,127.145196
견지동,10,187,0,12,0,5,37.573529,126.983065
경운동,22,338,13,24,0,9,37.574538,126.986664
계동,15,207,0,14,0,3,37.581321,126.987016
고덕동,233,3186,24,238,4,68,37.561068,127.160582
고척동,393,5697,43,433,2,144,37.50356,126.855829
공덕동,260,3854,40,286,1,78,37.548828,126.959006
공릉동,988,12088,101,949,7,256,37.623601,127.077388
공평동,29,419,2,29,0,6,37.571692,126.982996
공항동,259,3657,20,272,5,73,37.558805,126.813297
과해동,15,168,0,13,0,0,37.560661,126.794953
관수동,13,265,1,16,0,4,37.5692,126.990527
관철동,73,1060,4,74,0,15,37.569182,126.986053
관훈동,17,231,0,18,0,6,37.574336,126.984857
광장동,288,3692,23,284,3,93,37.546992,127.103926
광희동1가,6,188,2,12,0,4,37.565194,127.005069
광희동2가,34,408,7,29,0,9,37.563799,127.008655
교남동,8,116,1,9,0,4,37.567917,126.965108
교북동,11,181,1,12,0,4,37.572612,126.960436
구기동,37,559,1,39,1,14,37.609211,126.957246
구로동,1835,24542,167,1898,13,552,37.4929,126.886427
구산동,139,2054,16,154,2,50,37.61139,126.910297
구수동,20,235,0,18,0,5,37.545679,126.932695
구의동,598,8412,68,612,8,186,37.544655,127.089493
군자동,254,3480,33,273,1,97,37.553878,127.073516
궁동,160,1922,27,152,0,49,37.49687,126.831303
궁정동,3,100,2,8,0,4,37.584381,126.971489
권농동,8,76,1,7,0,3,37.575619,126.991498
금호동1가,86,1365,12,99,0,34,37.554697,127.023412
금호동2가,29,543,3,37,0,12,37.552482,127.020133
금호동3가,48,863,7,63,0,16,37.549504,127.021812
금호동4가,157,2092,29,159,2,66,37.547468,127.02006
길동,560,8070,81,604,5,202,37.539123,127.143163
길음동,328,4231,19,324,3,95,37.607316,127.02476
낙원동,31,698,6,52,1,20,37.572558,126.988732
남가좌동,221,3743,52,276,5,95,37.577538,126.922311
남대문로1가,19,257,5,19,0,4,37.567451,126.982976
남대문로2가,41,666,9,49,1,13,37.563785,126.981752
남대문로3가,26,440,4,31,0,11,37.561033,126.978259
남대문로4가,72,1087,11,82,0,23,37.560635,126.976863
남대문로5가,182,2617,27,193,2,52,37.557154,126.974366
남산동1가,9,99,0,9,0,2,37.55926,126.984605
남산동2가,18,265,4,20,0,6,37.558534,126.985813
남산동3가,13,159,3,12,0,3,37.560392,126.987105
남영동,47,556,7,43,0,11,37.542934,126.97341
남창동,73,1013,4,75,0,19,37.55845,126.977464
남학동,5,58,1,7,0,3,37.56041,126.99086
남현동,205,2290,23,175,1,47,37.474116,126.976721
내곡동,143,1799,16,136,1,36,37.456881,127.074171
내발산동,233,3719,38,268,2,91,37.552616,126.83573
내수동,20,270,0,20,0,6,37.573113,126.971819
내자동,37,436,1,35,0,7,37.575641,126.971177
냉천동,37,473,2,37,0,9,37.567257,126.96389
노고산동,215,2616,22,204,1,58,37.554402,126.938556
노량진동,633,8231,124,602,2,187,37.510162,126.940418
녹번동,296,3253,44,250,3,100,37.605253,126.929107
논현동,2004,20881,177,1801,4,384,37.513093,127.031353
누상동,1,37,6,3,0,1,37.580478,126.965838
누하동,6,117,1,10,0,3,37.579423,126.968521
능동,126,1626,8,134,1,44,37.553729,127.082381
다동,24,393,1,26,0,5,37.567577,126.981026
답십리동,407,6620,40,504,5,196,37.569883,127.056757
당산동,271,2769,38,214,3,49,37.528625,126.907439
당산동1가,141,1955,26,142,1,32,37.522336,126.898748
당산동2가,83,1033,11,85,0,29,37.522967,126.892688
당산동3가,166,2096,17,150,0,31,37.525551,126.896668
당산동4가,101,1355,11,101,2,25,37.528887,126.898848
당산동5가,76,1075,5,76,0,24,37.532856,126.899187
당산동6가,174,2334,20,163,2,57,37.534373,126.903445
당인동,10,209,4,14,0,5,37.54625,126.920245
